City,County,id,DateAdded,Price,Exterior color,Bedrooms,Bathrooms,Floors,waterfront,View,Condition,Grade,Sqft_living,Sqft_lot,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,timedelta,Country,Country-ISO,Full-State,State,lat,long,NeighborhoodName,ZipCode
Toronto,,1442300035,2014-07-02,355000,white,3,1,1,False,0,3,7,1730,7416,1730,0,1954,0,6.9685685786805545,Canada,CAN,,,47.55472,-76.31389,Lac Hindu,V3A 8K8
Opal,Lincoln,326069118,2014-06-30,760000,blue,4,2,2,False,0,3,8,3300,165528,3300,0,1984,0,10.84936605533565,USA,USA,Wyoming,WY,41.769166999999996,-110.325278,,29483
Toronto,,4083305870,2014-10-01,705000,white,2,2,1,False,0,5,7,1650,6840,1650,0,1916,0,-1.5849688348611108,Canada,CAN,,,49.36688,-77.8828,Razilly,P2N 1K8
Berlin,,9407001620,2014-08-12,280000,light gray,3,2,2,False,0,3,7,1370,22326,1370,0,1993,0,6.380923185868057,Germany,DEU,,,49.41923,9.43458,Marienhöhe,27002
North Kingstown,Washington,3438500797,2014-07-08,368000,yelow,4,1,1,False,0,3,7,2100,11942,1030,1070,0,0,7.582335239178241,USA,USA,Rhode Island,RI,41.589426,-71.46249399999999,,02301
Fulton,Kalamazoo,2421059090,2015-05-11,640000,light blue,4,2,2,False,0,4,8,4090,215186,3670,420,1979,0,-2.630400429085648,USA,USA,Michigan,MI,42.139086,-85.322659,,20175
Akiak,Bethel,8857640420,2014-10-01,294000,light pink,4,2,2,False,0,3,8,2190,3746,2190,0,2005,0,1.6069663732291668,USA,USA,Alaska,AK,60.890632,-161.199325,,99654
Buffalo,Leon,7715800570,2015-04-13,385000,green,3,2,1,False,0,3,7,1010,7380,1010,0,1982,0,8.10299236851852,USA,USA,Texas,TX,31.457151,-96.058516,,08037
Vineburg,Sonoma,3342103369,2014-07-07,481000,yelow,4,2,2,False,0,3,8,2286,8269,2286,0,2002,0,2.031779713078703,USA,USA,California,CA,38.2725,-122.4375,,14580
Berlin,,7852130640,2014-06-02,432500,blue,3,2,2,False,0,3,7,2240,6396,2240,0,2002,0,7.817490160347222,Germany,DEU,,,54.63333000000001,9.73333,Brebelhof,60493
Vancouver,,3356402705,2015-03-17,216000,yelow,4,2,2,False,0,3,7,1847,8000,1847,0,2008,0,5.090286755497685,Canada,CAN,,,,,,
Gay,Meriwether,7979900440,2015-05-12,600000,pink,2,1,1,False,1,3,7,2080,13054,2080,0,0,0,1.4427118161342591,USA,USA,Georgia,GA,33.149902000000004,-84.58057600000001,,32720
Toronto,,1972201161,2015-03-23,435000,light gray,1,1,1,False,0,5,6,670,1800,670,0,1905,0,8.740997480532407,Canada,CAN,,,45.015390000000004,-74.54817,Marais Sugar Bush,K7G 9T2
Thunder_Bay,,3278600670,2014-05-23,235000, ,2,1,1,False,0,3,8,1140,1730,1010,130,2007,0,6.472340568402778,Canada,CAN,,,48.316790000000005,-88.9834,Hare Island Reef,B4H 6V3
Berlin,,1102000270,2014-07-01,1080000,white,3,2,2,False,1,3,8,3890,7216,3260,630,1967,2010,-1.3006404356828702,Germany,DEU,,,49.483540000000005,8.46974,Kurpfalz Gymnasium und Realschule,68795
Vancouver,,6139100101,2015-05-05,405100,   ,4,2,1,False,0,4,7,1580,7300,1580,0,1955,0,4.5278562447569435,Canada,CAN,,,54.20794,-130.4145,West Kinahan Island,E4K 1M0
Indian Rocks Beach,Pinellas,2525300030,2015-02-22,232000,Null,3,1,1,False,0,4,6,1400,10403,1400,0,1976,0,-0.8454300953935185,USA,USA,Florida,FL,27.884,-82.8455,,46321
Moncton,,1402950100,2014-11-21,305000,light gray,4,2,2,False,0,3,8,2430,5959,2430,0,2002,0,5.206394349178241,Canada,CAN,,,47.56817,-64.98977,Bois Hébert,T9W 5R1
Vancouver,,9542890100,2014-12-29,415000,light blue,2,2,2,False,0,3,8,1130,2191,1130,0,2010,0,4.345831229270833,Canada,CAN,,,53.64666999999999,-125.32667,Mackenzie Lake,V8L 9Y0
Coinjock,Currituck,2171400126,2014-06-05,269000,black,3,1,1,False,0,3,7,1690,4250,1020,670,1967,0,-2.912929207731481,USA,USA,North Carolina,NC,36.375064,-75.934012,,58701
Toronto,,2923500230,2014-12-16,2600000,yelow,4,4,2,True,4,3,11,5270,12195,3400,1870,1979,0,-2.830255919537037,Canada,CAN,,,44.23188,-80.94552,McDonald Lake,A1W 3T6
Toronto,,1788300010,2014-12-11,179950, ,2,1,1,False,0,3,6,1200,9000,1200,0,1958,0,-1.7118942849074068,Canada,CAN,,,46.54811,-77.43863,Lac Billy,J0B 1L5
Yellowknife,,8563080020,2014-10-28,740000,pink,3,2,2,False,2,4,9,2960,9350,2960,0,1978,0,3.7181262636342596,Canada,CAN,,,66.46117,-129.03336000000002,Airport Creek,V1N 8X9
Flat Rock,Shelby,6632900574,2015-02-25,595000,white,5,3,1,False,0,3,7,2980,10064,1680,1300,1940,0,2.686964110949074,USA,USA,Indiana,IN,39.407503000000005,-85.675886,,34293
Bowling Green,Hardee,3582700070,2014-12-05,356500,gray,4,1,1,False,0,3,7,1570,9670,1170,400,1959,0,2.312284668703704,USA,USA,Florida,FL,27.627738,-81.845058,,30741
Springvale,York,2301400640,2014-07-17,891000,light pink,4,2,1,False,0,5,7,2330,5000,1720,610,1925,0,8.869374142962963,USA,USA,Maine,ME,43.471499,-70.806445,,15146
Fort Eustis,Newport News City,1678400105,2015-02-12,339000,white,4,1,1,False,2,3,7,2390,7480,2390,0,1920,0,7.712097437037038,USA,USA,Virginia,VA,37.122112,-76.589727,,16506
Berlin,,2591830350,2014-08-20,397500,Null,3,2,1,False,0,4,8,2130,8225,2130,0,1987,0,-2.0417780523263893,Germany,DEU,,,51.26933,10.10897,Wiesenfeld,38854
Culpeper,Culpeper,7714000250,2014-10-18,394000,yelow,5,3,2,False,0,3,8,3620,4650,2790,830,2004,0,6.854256494664353,USA,USA,Virginia,VA,38.48115,-78.00406,,33054
Toronto,,2599700040,2014-12-30,160000,yelow,4,1,1,False,0,4,6,1540,7350,770,770,1969,0,2.341437639039352,Canada,CAN,,,46.12167,-74.08444,Lac Hiawatha,X0C 8P5
Livingston,Rockcastle,2005600090,2014-05-14,160000,light gray,3,1,1,False,0,4,6,860,11900,860,0,1963,0,-1.4694260069444443,USA,USA,Kentucky,KY,37.307390999999996,-84.231776,,11776
Capulin,Conejos,3629800100,2014-10-28,520000,white,3,2,2,False,0,3,9,2160,4297,2160,0,1999,0,-2.230293244652778,USA,USA,Colorado,CO,37.283889,-106.11083300000001,,24401
Toronto,,3904100089,2015-03-18,300000,white,3,1,1,False,0,4,6,1350,7370,1350,0,1912,0,10.40114191818287,Canada,CAN,,,45.45793,-73.59054,Parc Campbell Ouest,E8R 2E4
Vancouver,,1446800995,2014-08-05,300000,Null,3,2,1,False,0,4,7,2020,6628,1250,770,1963,0,-0.004827804652777778,Canada,CAN,,,50.68528,-120.63611000000002,Beaton Lake,E7A 0Y6
St_Johns,,6413600285,2014-08-25,402000,pink,3,1,1,False,0,5,7,1580,6127,1580,0,1947,0,-0.5645304051736111,Canada,CAN,,,47.131840000000004,-55.49521,Swabs Dock,G4X 9T2
La Jara,Sandoval,8562890560,2014-06-26,399000,white,4,3,2,False,0,3,8,3060,5000,3060,0,2001,0,3.5040290112152785,USA,USA,New Mexico,NM,36.119383,-106.99233500000001,,34221
Berlin,,1423400160,2014-06-18,230000,yelow,2,1,1,False,0,3,6,1080,9435,1080,0,1958,0,4.9102110634027785,Germany,DEU,,,52.04148,12.57803,Raben,77742
Toronto,,4083300098,2014-11-17,453000,yelow,2,1,2,False,0,3,7,1160,1269,970,190,2005,0,1.325279372800926,Canada,CAN,,,44.85968,-75.44541,Pittston,L7B 4V6
Winnipeg,,3026059362,2014-10-31,499000,white,3,2,2,False,0,3,8,1861,1587,1578,283,2007,0,6.265834585914353,Canada,CAN,,,49.33212,-93.48781,Basil Lake,H3J 8R5
Toronto,,3905080250,2014-09-26,575000,light blue,4,2,2,False,0,3,8,2630,6247,2630,0,1992,0,-2.9180944912152786,Canada,CAN,,,48.86679,-85.26653,Magone,N9V 2S3
Edmonton,,4389200876,2014-07-01,1565000,gray,4,2,1,False,1,4,7,2970,12750,2130,840,1918,1986,8.654243395081018,Canada,CAN,,,51.18329,-116.11885,Tokumm Creek,V2A 4N6
Fort Benton,Chouteau,7116500705,2015-01-29,156000,Null,2,1,1,False,0,4,6,920,5889,920,0,1950,0,3.0286470932060188,USA,USA,Montana,MT,,,,
White Oak,Raleigh,3677400445,2014-09-02,475000,blue,3,1,1,False,0,5,7,2480,5280,1620,860,1947,0,-0.7925881174768519,USA,USA,West Virginia,WV,37.68008,-81.058875,,48823
Berlin,,3626079032,2014-07-30,396400,white,4,2,2,False,0,2,7,2120,215186,2120,0,1983,0,8.775980775590279,Germany,DEU,,,49.67475,7.6745399999999995,Roth,40561
Berlin,,7229900885,2014-11-03,313000,Null,3,1,1,False,0,4,7,1510,10369,1010,500,1968,0,10.19123829116898,Germany,DEU,,,,,,
Greenfield,Franklin,6431000015,2014-05-30,700000,light gray,4,2,1,False,0,3,7,2310,3570,1490,820,1927,2014,7.976849082002316,USA,USA,Massachusetts,MA,42.601222,-72.60184699999999,,28348
Quinton,New Kent,1310430400,2014-05-13,455000,,4,2,2,False,0,3,9,3360,7685,3360,0,2001,0,0.6363123944444444,USA,USA,Virginia,VA,37.518466,-77.148607,,95677
Ochelata,Washington,9392500100,2014-07-23,249000,light pink,4,2,1,False,0,3,7,1860,9576,1400,460,1962,0,-1.874184676805556,USA,USA,Oklahoma,OK,36.594654999999996,-95.969143,,76522
Toronto,,6669020290,2015-03-04,279950,pink,3,1,1,False,0,3,8,1720,9775,1720,0,1978,0,5.901391531018517,Canada,CAN,,,46.261109999999995,-73.69556,Lac Priscault,N0B 5A4
Berlin,,3658700510,2014-07-24,620000,white,4,2,1,False,0,5,7,2290,3060,1550,740,1928,0,-1.811645810023148,Germany,DEU,,,50.756240000000005,6.958660000000001,Bisdorf,81247
Toronto,,7967000130,2015-04-01,370228,light pink,4,3,2,False,0,3,8,2050,4000,2050,0,2014,0,-1.7318201559722217,Canada,CAN,,,46.83917,-74.28028,Lac Petit Brochet,E5H 9N8
Weston,Collin,7625703800,2015-04-24,560000,white,3,2,1,False,0,5,7,1300,6000,1300,0,1943,0,8.23945008736111,USA,USA,Texas,TX,33.348889,-96.669167,,32958
Toronto,,1774230180,2014-09-17,696500,black,5,2,1,False,0,3,8,3210,61419,3210,0,1979,0,8.041504571874999,Canada,CAN,,,50.55444,-66.79666999999999,Lac Fortune,R6M 2T5
Mascot,King And Queen,3885806565,2015-01-30,1339000,yelow,4,3,2,False,3,3,9,2980,6349,2980,0,1998,0,6.089046514386575,USA,USA,Virginia,VA,37.60683,-76.738324,,06880
Berlin,,1223039235,2014-11-14,605000,blue,5,2,2,False,0,4,8,2910,13332,2910,0,1940,1991,-2.277709071145833,Germany,DEU,,,52.123290000000004,7.873419999999999,Blömker,40927
Toronto,,2473002060,2014-05-19,442500,white,3,1,1,False,0,3,8,1800,10200,1800,0,1967,0,5.183620345983797,Canada,CAN,,,45.38341,-80.4164,Dixon Bank,B4P 8S3
Trout Creek,Delaware,8731902680,2014-11-20,218000,light blue,3,2,1,False,0,4,8,1610,7084,1280,330,1968,0,9.699809954791666,USA,USA,New York,NY,42.203610999999995,-75.27972199999999,,34668
Halifax,,7853280550,2014-05-28,700000,light blue,4,3,2,False,0,3,9,4490,5099,3390,1100,2006,0,4.034602399699073,Canada,CAN,,,45.743320000000004,-63.46615,Wallace Grant,E4M 5J0
Toronto,,2895800750,2015-04-17,274800,white,3,1,2,False,0,3,8,1410,1988,1410,0,2014,0,2.114941092731482,Canada,CAN,,,49.75014,-74.24915,Baie Corner,N8H 5Y7
Oriska,Barnes,3508100135,2015-03-16,1101000,white,3,1,2,False,3,3,9,2220,4830,1790,430,1928,2010,5.451942193125,USA,USA,North Dakota,ND,46.943251000000004,-97.785331,,37601
Tupper Lake,Franklin,9550200265,2014-08-18,625000,yelow,3,1,1,False,0,3,7,1240,4080,1240,0,1925,0,4.034640468993056,USA,USA,New York,NY,44.228460999999996,-74.463172,,33442
Summer Shade,Metcalfe,3322049201,2014-05-23,275000,yelow,4,1,2,False,0,3,7,1930,15531,1930,0,1979,0,-2.3585776213657406,USA,USA,Kentucky,KY,36.888345,-85.708322,,08080
Big Run,Wetzel,5437200080,2015-02-04,350000,black,4,2,1,False,2,3,9,2500,11659,1490,1010,1979,0,5.235943120219908,USA,USA,West Virginia,WV,39.59414,-80.58371700000001,,17402
Skaneateles,Onondaga,3629970930,2014-11-11,670000,light pink,3,3,2,False,0,3,9,2980,3730,2980,0,2005,0,3.4239898849652786,USA,USA,New York,NY,42.925751,-76.405174,,29150
Kingfisher,Kingfisher,3629790160,2014-07-24,524250,black,3,2,2,False,0,3,8,1710,3469,1710,0,1999,0,-0.19641471797453697,USA,USA,Oklahoma,OK,35.863613,-97.947293,,34711
Rankin_Inlet,,8924100308,2015-02-03,1050000,white,4,2,2,False,1,3,9,3260,5974,2820,440,2007,0,7.140839012974538,Canada,CAN,,,65.65083,-86.51605,Umiijarvik Point,G7P 7N8
Toronto,,2902200915,2014-11-25,675000,light pink,3,1,1,False,0,3,7,2130,4400,1430,700,1922,0,10.843284005914349,Canada,CAN,,,48.53556,-74.90444000000001,Lac Eriko,J3V 5X0
Wyoming,Kent,5468750060,2014-10-28,328500,yelow,4,3,2,False,0,3,9,2290,8250,2290,0,1990,0,0.154485202337963,USA,USA,Michigan,MI,42.900867,-85.705775,,32159
Hillsboro,Sierra,2125079054,2015-02-24,522500,white,4,2,1,False,0,3,7,2200,122403,2200,0,1971,0,5.547964470231482,USA,USA,New Mexico,NM,32.923913,-107.6276,,47711
Toronto,,1383800015,2015-01-08,524000,Null,3,2,3,False,0,3,8,1370,1007,1330,40,2009,0,6.239395341585648,Canada,CAN,,,49.63348,-76.94941,Montagnes Dalhousie,G5H 2T7
Vancouver,,1773100926,2014-06-03,320000,light gray,3,3,2,False,0,3,8,1530,1602,1140,390,2013,0,3.6152176115856482,Canada,CAN,,,58.83285,-130.35362,Mosquito Creek,K1G 1X5
Toronto,,301402140,2015-02-26,250000,gray,3,2,2,False,0,3,7,1481,2820,1481,0,2012,0,7.773433326319445,Canada,CAN,,,47.272009999999995,-78.04420999999999,Lac du Gobelet,K7A 0G4
Granby,Essex,8598900125,2015-04-06,443000,white,3,1,1,False,0,3,7,1530,8028,1200,330,1967,0,-0.02135816450231481,USA,USA,Vermont,VT,44.570555999999996,-71.759167,,98503
Berlin,,9528104109,2014-10-27,530000,yelow,3,2,3,False,0,3,7,1365,1090,1315,50,2003,0,3.7489950384722217,Germany,DEU,,,48.4534,10.2621,Günzburg,30897
Union,Knox,7138000170,2015-01-02,147500,white,3,1,1,False,0,3,7,1230,10125,1230,0,1960,0,1.437329820983796,USA,USA,Maine,ME,44.242404,-69.25243499999999,,49022
Berlin,,3812400455,2014-11-04,291000,pink,7,1,1,False,0,3,7,2350,8636,1550,800,1962,0,2.9460181315625,Germany,DEU,,,48.67151,9.23873,Sielmingen,19830
Newton,Middlesex,4039100400,2015-05-06,515000,white,3,2,1,False,0,4,8,3000,8250,1760,1240,1963,0,9.837536155046298,USA,USA,Massachusetts,MA,42.3545,-71.1877,,24112
Winnipeg,,984000410,2015-02-18,225000,gray,3,2,1,False,0,4,7,2170,11745,1410,760,1967,0,3.4278685293287032,Canada,CAN,,,52.79945,-100.65804,Shoal River 65F,H3E 6V1
Selawik,Northwest Arctic,5589300370,2015-04-01,282000,light gray,4,1,1,False,0,3,7,1200,11111,1200,0,1949,0,-1.8897137150347219,USA,USA,Alaska,AK,65.713537,-158.534287,,32159
Berlin,,7940710070,2014-08-22,394000,pink,3,2,1,False,0,3,8,1370,4400,1370,0,1988,0,10.910898883368061,Germany,DEU,,,53.337019999999995,14.03315,Grenz,38663
Avoca,Lawrence,4048400185,2014-10-22,352000,white,2,0,1,False,0,4,4,760,33801,760,0,1931,0,4.74447327974537,USA,USA,Indiana,IN,38.911944,-86.54777800000001,,28803
Toronto,,9485300010,2015-02-13,311500,black,4,2,2,False,0,3,8,1940,10133,1940,0,1992,0,-0.2854355559143519,Canada,CAN,,,48.583729999999996,-73.95411999999999,Rivière Wabano Ouest,B4H 7P9
Regina,,1683800120,2014-11-17,302500,light pink,3,2,1,False,0,4,7,3100,11985,1790,1310,1963,0,0.7421163088541667,Canada,CAN,,,55.916740000000004,-106.28388000000001,Robinson Lake,R2C 1M9
Millwood,Clarke,7582700100,2014-11-11,1324050,white,3,3,2,False,0,3,9,3440,4080,2560,880,2005,0,9.307730982430558,USA,USA,Virginia,VA,39.069444,-78.03805600000001,,47906
Berlin,,9528104286,2015-01-13,455000,light blue,2,1,3,False,0,3,7,1020,1146,1020,0,2001,0,2.530705858912037,Germany,DEU,,,51.64201,8.20295,Neuenkamp,28353
De Soto,Dallas,3359500755,2014-09-02,544500,gray,5,1,1,False,0,3,7,1690,3240,1690,0,1914,0,10.33880909636574,USA,USA,Iowa,IA,41.533285,-94.027582,,48185
Halifax,,1473120230,2014-12-23,435000,white,4,2,2,False,0,3,9,2940,7590,2940,0,1991,0,-2.104257918043981,Canada,CAN,,,44.44518,-63.7203,Lower Woody Island,L4R 6T0
St_Johns,,104560280,2014-05-22,273000,red,4,3,2,False,0,3,7,1990,6180,1990,0,1990,0,6.494360995023148,Canada,CAN,,,47.83331,-59.34859,Net Cove,V8J 7T6
Rankin_Inlet,,2783600210,2014-09-16,445000,light pink,3,1,1,False,0,4,7,1850,16863,1280,570,1980,0,2.29837240787037,Canada,CAN,,,75.58497,-87.5501,Sukause Island,J2N 8N6
Breaks,Dickenson,4171200025,2015-03-27,299950,white,3,1,1,False,0,3,7,1940,8951,1300,640,1958,0,5.3145998603125,USA,USA,Virginia,VA,37.295833,-82.281111,,33510
Vancouver,,6799300130,2014-06-23,300000,light pink,4,2,2,False,0,3,8,1840,5550,1840,0,2004,0,3.8619945361574066,Canada,CAN,,,52.566430000000004,-126.36988999999998,Tzeetsaytsul Peak,R0J 1T3
Winnipeg,,2622029072,2014-10-01,520000,white,4,3,2,False,0,5,8,2734,210201,2734,0,1974,0,3.2287322362731485,Canada,CAN,,,51.93865,-95.1569,Nasatagun Creek,E7L 4V0
Retsil,Kitsap,7228500094,2014-12-12,278000,black,4,2,1,False,0,3,7,1480,6324,1480,0,1943,0,3.4491596590509266,USA,USA,Washington,WA,47.546110999999996,-122.61,,08234
Berlin,,2896000510,2014-08-21,490000,light blue,4,2,1,False,0,3,8,2120,7820,1280,840,1975,0,6.302339840949074,Germany,DEU,,,49.99777,11.69775,Heidelleithen,99458
Yellowknife,,3856901760,2014-12-15,730000,light pink,2,1,1,False,0,3,7,1860,3400,1010,850,1920,0,10.535335358414349,Canada,CAN,,,61.317080000000004,-109.43512,Naskethey Lakes,V2A 1T9
Flat Rock,Seneca,2346800270,2015-01-06,555000,gray,3,3,1,False,2,3,7,2920,23085,1540,1380,1908,0,10.99828632899306,USA,USA,Ohio,OH,41.235833,-82.86027800000001,,98837
Edmonton,,2617900035,2014-12-01,1520000,yelow,6,3,2,False,0,3,10,3720,11690,3720,0,2003,0,1.7083263349421298,Canada,CAN,,,53.06136,-118.1113,Warden Station,V8K 2V4
Toronto,,8149600065,2015-04-01,844000,light pink,4,3,2,False,2,3,8,3350,6350,2610,740,2009,0,2.7747526877430566,Canada,CAN,,,51.82307,-88.83847,Titford Lake,J8G 7L7
O Kean,Randolph,3812400657,2014-12-04,160000,red,3,1,1,False,0,2,6,1200,8360,1200,0,1948,0,7.648908316192129,USA,USA,Arkansas,AR,36.179672,-90.824069,,02130
Heflin,Webster,6744700900,2015-04-29,795000,light pink,4,2,1,False,4,3,8,2570,13450,1510,1060,1948,0,-1.152868869143518,USA,USA,Louisiana,LA,32.447008000000004,-93.28519200000001,,46037
Berlin,,1498303855,2015-02-24,718000,yelow,4,2,1,False,0,5,8,2930,4408,1660,1270,1939,0,10.5240764027662,Germany,DEU,,,51.717890000000004,14.663170000000001,Keune,45606
Remsen,Oneida,3883100220,2015-01-20,299000,yelow,3,1,1,False,0,4,7,2010,8065,1090,920,1984,0,5.212248779224537,USA,USA,New York,NY,43.338456,-75.161618,,21227
Toronto,,1565600130,2014-08-21,275000,white,5,1,1,False,0,3,7,2180,9178,1140,1040,1963,0,-1.534317654583333,Canada,CAN,,,43.53754,-79.65912,Sherwood Forrest,T7S 0Y2
Waggoner,Montgomery,6159400030,2014-10-08,399950,light pink,3,2,1,False,0,5,7,2050,9396,1170,880,1960,0,1.40090880880787,USA,USA,Illinois,IL,39.383829999999996,-89.647429,,83301
Douglassville,Cass,8118600025,2015-03-31,552500,pink,4,1,1,False,0,4,7,1560,7980,1170,390,1939,0,-2.1351944107060183,USA,USA,Texas,TX,33.175806,-94.346699,,90403
South Casco,Cumberland,7853290090,2014-11-18,515000,white,4,2,2,False,0,3,7,2890,7306,2890,0,2006,0,10.454115938738429,USA,USA,Maine,ME,43.876736,-70.512938,,33435
Aleppo,Greene,6979900390,2014-05-29,565000,light blue,4,2,2,False,0,3,8,2440,22594,2440,0,1996,0,9.426682143819443,USA,USA,Pennsylvania,PA,39.824647,-80.457918,,46307
Brashear,Adair,8024200625,2015-02-05,414500,light pink,3,1,1,False,0,3,7,1050,6002,840,210,1941,0,9.6904366434375,USA,USA,Missouri,MO,40.195890999999996,-92.43325300000001,,49503
Commerce,Hunt,8892900210,2014-06-09,236000,gray,3,1,1,False,0,3,7,1330,6301,1330,0,1998,0,4.879833042743057,USA,USA,Texas,TX,33.2493,-95.90968000000001,,11727
Ash,Brunswick,203600470,2015-04-09,620000,light blue,4,2,2,False,0,3,9,2690,32780,2690,0,1998,0,-1.1902845903356478,USA,USA,North Carolina,NC,34.065871,-78.505637,,56401
Edmonton,,8648220150,2014-05-07,226500,yelow,3,1,1,False,0,3,7,1640,10762,1130,510,1988,0,4.358613355358796,Canada,CAN,,,49.41662,-115.9688,Salesbury Creek,P1H 9C5
Toronto,,9352900200,2015-04-07,285000,light pink,3,2,3,False,0,3,7,1320,955,1320,0,2009,0,6.037207966597222,Canada,CAN,,,44.25365,-76.95385999999999,Napanee Railway Station,R1N 2Y8
Mineral City,Tuscarawas,3275760190,2014-06-24,600000,Null,4,1,1,False,0,5,7,1740,7700,1740,0,1968,0,9.299276182777778,USA,USA,Ohio,OH,40.625686,-81.354561,,48076
Pinecrest,Tuolumne,3332000091,2015-02-24,320000,white,3,1,1,False,0,3,6,1190,4120,1190,0,1929,0,8.879982560891202,USA,USA,California,CA,38.341062,-119.865195,,02062
Mapaville,Jefferson,3925000020,2015-02-24,265000,light gray,3,2,1,False,0,3,7,1690,9516,1690,0,1997,0,9.708777645092592,USA,USA,Missouri,MO,38.248889,-90.483333,,21236
Toronto,,3211600650,2014-07-22,275000,pink,3,1,1,False,0,3,7,1000,8018,1000,0,1969,0,9.87791347449074,Canada,CAN,,,47.65015,-80.94978,Wapus Creek,B1X 3H0
Toronto,,1336800185,2014-06-17,1185000,gray,3,2,2,False,0,5,9,2500,5568,2500,0,1905,0,6.929697748090278,Canada,CAN,,,45.57338,-78.14654,Sonia Lake,B1K 8C1
Westlake,Cuyahoga,1822079046,2015-05-04,500000,white,3,2,1,False,0,4,8,3040,41072,1520,1520,1978,0,-1.4592346700347218,USA,USA,Ohio,OH,41.453459,-81.92177099999999,,91387
St_Johns,,880000205,2014-07-29,249000,Null,3,2,2,False,0,3,7,1260,1125,810,450,2011,0,2.100155566203703,Canada,CAN,,,47.533190000000005,-52.84805,Nevilles Pond,N3A 0E3
Toronto,,5141000571,2014-08-25,267000,white,1,1,1,False,0,4,6,800,2480,800,0,1919,0,5.091176039270833,Canada,CAN,,,45.082640000000005,-76.28867,Quinn Settlement,A2H 6E1
Berlin,,1829300270,2014-08-21,715000,light gray,4,2,2,False,0,3,10,2780,13521,2780,0,1987,0,1.922666642175926,Germany,DEU,,,51.52388,6.68647,Orsoy,87066
Alliance,Box Butte,7977201065,2015-03-05,740000,gray,3,1,1,False,0,2,7,1380,4590,930,450,1950,0,2.8951041425925936,USA,USA,Nebraska,NE,42.114943,-102.88804499999999,,01906
Destrehan,Saint Charles,9406540130,2015-04-03,489000,yelow,4,2,2,False,0,3,9,3910,8442,2710,1200,2000,0,4.130690913414352,USA,USA,Louisiana,LA,29.965790000000002,-90.373982,,15317
Keene,Coshocton,7852010670,2014-07-09,692500,black,4,2,2,False,0,3,9,3710,7984,3710,0,1999,0,3.49316513599537,USA,USA,Ohio,OH,40.345,-81.86833299999999,,15146
Bantry,Mchenry,3126049094,2014-11-12,392450,yelow,4,2,1,False,0,3,7,2195,2681,1060,1135,1912,0,-1.4114877259953702,USA,USA,North Dakota,ND,48.511875,-100.789445,,55021
Toronto,,6661200050,2014-05-28,175000,gray,2,1,1,False,0,3,7,830,2699,830,0,1996,0,1.545540825520834,Canada,CAN,,,46.5156,-74.55906,Lac Cato,B1X 5X3
Gervais,Marion,4025300195,2015-03-18,685000,yelow,4,2,2,False,0,3,8,2820,10125,2820,0,2008,0,-2.781447971377315,USA,USA,Oregon,OR,45.108645,-122.896185,,02149
Duluth,Saint Louis,2450000295,2014-10-07,1088000,blue,3,2,2,False,0,3,8,2920,8113,2920,0,1950,2010,1.5556609407060182,USA,USA,Minnesota,MN,47.094431,-91.846731,,34952
